track_id,type,traveled_d,avg_speed
242, Taxi, 480.45, 19.654934
243, Car, 27.04, 15.701965
244, Car, 19.14, 0.101884
245, Medium Vehicle, 256.94, 11.171377
246, Car, 172.40, 19.155583
247, Motorcycle, 51.08, 28.732618
248, Motorcycle, 481.24, 40.860291
249, Car, 53.34, 21.820931
250, Motorcycle, 125.41, 15.252951
251, Taxi, 458.55, 37.517679
252, Motorcycle, 37.54, 12.993423
253, Motorcycle, 454.48, 42.386647
254, Motorcycle, 453.86, 41.681178
255, Car, 480.96, 31.254021
256, Heavy Vehicle, 482.50, 28.569004
257, Car, 454.28, 38.938630
258, Taxi, 454.22, 33.101076
259, Motorcycle, 489.69, 36.574610
260, Car, 52.24, 28.496744
261, Heavy Vehicle, 95.09, 12.313680
262, Car, 483.21, 28.331305
263, Taxi, 457.62, 33.214697
264, Car, 460.09, 32.604466
265, Car, 485.63, 34.965644
266, Car, 463.06, 31.813042
267, Motorcycle, 199.78, 22.061939
268, Taxi, 102.89, 26.458017
269, Car, 478.59, 37.454760
270, Car, 481.36, 23.544831
271, Motorcycle, 485.61, 40.655540
272, Car, 284.07, 15.448051
273, Car, 210.50, 16.261862
274, Motorcycle, 100.78, 14.511744
275, Car, 482.48, 40.393771
276, Motorcycle, 452.49, 26.021697
277, Car, 198.64, 23.997212
278, Motorcycle, 87.37, 18.287492
279, Motorcycle, 55.07, 13.216367
280, Taxi, 199.60, 26.613805
281, Motorcycle, 46.91, 3.377796
282, Car, 401.47, 21.766252
283, Car, 216.92, 14.789770
284, Motorcycle, 120.73, 18.574441
285, Medium Vehicle, 492.00, 40.624114
286, Motorcycle, 458.01, 40.812929
287, Car, 55.18, 23.098429
288, Motorcycle, 463.81, 47.980070
289, Car, 442.47, 16.320539
290, Motorcycle, 481.77, 44.244042
291, Motorcycle, 323.78, 15.098643
292, Medium Vehicle, 204.48, 1.547778
293, Car, 211.40, 14.305373
294, Motorcycle, 349.99, 16.622103
295, Motorcycle, 236.55, 27.648121
296, Car, 483.77, 44.886011
297, Bus, 483.74, 36.585703
298, Car, 492.89, 45.968721
299, Motorcycle, 489.51, 38.477074
300, Motorcycle, 220.69, 32.295659
301, Car, 459.86, 36.145951
302, Taxi, 265.83, 15.485314
303, Car, 458.12, 21.700224
304, Car, 483.40, 47.808474
305, Car, 131.95, 8.105998
306, Car, 384.61, 25.174583
307, Car, 349.78, 17.835916
308, Taxi, 208.41, 16.169694
309, Taxi, 483.03, 42.002383
310, Car, 482.64, 45.966073
311, Taxi, 100.27, 24.390691
312, Heavy Vehicle, 265.03, 16.856961
313, Taxi, 207.24, 15.225623
314, Taxi, 347.30, 20.100852
315, Car, 215.01, 10.131479
316, Car, 217.01, 10.015645
317, Car, 263.70, 20.548116
318, Taxi, 346.55, 21.659506
319, Car, 356.96, 22.310157
320, Car, 363.46, 11.916745
321, Car, 193.89, 4.096298
322, Car, 326.69, 23.242532
323, Car, 349.45, 13.763758
324, Motorcycle, 457.44, 39.586283
325, Taxi, 67.43, 11.559601
326, Car, 212.27, 11.337956
327, Motorcycle, 170.33, 21.440484
328, Car, 51.28, 20.980018
329, Car, 479.19, 35.939434
330, Car, 478.83, 37.968607
331, Motorcycle, 207.14, 13.221623
332, Taxi, 94.01, 8.767701
333, Car, 479.90, 40.365426
334, Taxi, 329.42, 19.765440
335, Car, 208.84, 16.415616
336, Taxi, 492.08, 14.059326
337, Motorcycle, 120.68, 20.493342
338, Car, 53.81, 18.627579
339, Motorcycle, 188.12, 38.479078
340, Car, 488.55, 43.969327
341, Car, 457.02, 38.987601
342, Motorcycle, 101.16, 11.239993
343, Heavy Vehicle, 107.83, 9.608311
344, Car, 480.96, 42.646800
345, Taxi, 461.31, 18.051135
346, Car, 236.59, 12.904835
347, Motorcycle, 481.93, 41.307960
348, Car, 206.16, 17.755169
349, Medium Vehicle, 492.71, 21.898100
350, Motorcycle, 484.74, 38.951969
351, Heavy Vehicle, 482.14, 41.326605
352, Taxi, 481.49, 45.614878
353, Taxi, 482.03, 44.955871
354, Car, 104.21, 13.592362
355, Car, 485.00, 21.555590
356, Car, 205.92, 17.081275
357, Car, 487.20, 40.789075
358, Motorcycle, 238.55, 31.806234
359, Car, 39.97, 17.986944
360, Car, 220.78, 21.716209
361, Car, 103.84, 10.680992
362, Car, 218.51, 21.611084
363, Motorcycle, 52.29, 16.513871
364, Car, 492.31, 31.093496
365, Motorcycle, 484.62, 42.552107
366, Car, 485.66, 38.852707
367, Taxi, 484.20, 33.781048
368, Car, 484.27, 33.526468
369, Car, 206.02, 15.074479
370, Motorcycle, 482.62, 39.667194
371, Taxi, 483.46, 39.199280
372, Car, 466.35, 3.239765
373, Motorcycle, 482.39, 47.709112
374, Bus, 483.19, 31.512699
375, Car, 483.91, 36.293412
376, Motorcycle, 346.77, 15.450356
377, Motorcycle, 260.28, 1.815930
378, Car, 479.87, 35.990351
379, Car, 461.98, 36.958234
380, Car, 103.51, 20.034155
381, Motorcycle, 345.31, 15.656261
382, Car, 494.17, 32.944486
383, Taxi, 348.26, 15.910315
384, Car, 490.56, 30.982883
385, Car, 482.03, 8.239751
386, Car, 489.76, 33.141941
387, Car, 365.05, 16.509660
388, Car, 481.88, 36.909640
389, Car, 30.65, 15.763784
390, Car, 236.18, 26.081439
391, Taxi, 214.77, 14.533558
392, Motorcycle, 482.09, 22.835654
393, Car, 358.48, 16.760204
394, Motorcycle, 340.75, 25.989722
395, Taxi, 234.10, 16.207206
396, Taxi, 402.13, 11.118758
397, Car, 339.26, 2.414630
398, Medium Vehicle, 339.31, 15.700556
399, Car, 100.71, 23.240992
400, Medium Vehicle, 482.63, 22.447870
401, Taxi, 480.35, 24.017491
402, Car, 483.35, 23.450928
403, Car, 37.69, 18.335013
404, Taxi, 362.10, 15.781568
405, Car, 219.77, 16.620955
406, Taxi, 349.08, 18.372385
407, Motorcycle, 349.75, 21.340870
408, Car, 348.78, 18.796528
409, Taxi, 217.08, 17.444095
410, Car, 281.85, 21.138703
411, Car, 347.29, 12.731779
412, Motorcycle, 211.41, 20.794684
413, Car, 349.29, 12.752963
414, Car, 73.00, 0.538726
415, Car, 351.28, 13.283761
416, Car, 200.19, 13.546905
417, Motorcycle, 213.55, 25.971998
418, Motorcycle, 27.54, 6.196385
419, Car, 199.57, 13.403654
420, Taxi, 212.24, 12.567053
421, Car, 450.31, 15.831182
422, Taxi, 480.99, 35.924575
423, Car, 212.58, 12.670279
424, Car, 70.87, 5.933470
425, Taxi, 236.16, 25.302344
426, Car, 51.60, 26.535419
427, Bus, 480.81, 34.618444
428, Taxi, 481.99, 37.557463
429, Car, 26.14, 7.841723
430, Car, 236.83, 25.374639
431, Motorcycle, 450.58, 52.665779
432, Motorcycle, 377.92, 17.622992
433, Car, 385.41, 8.388620
434, Taxi, 349.18, 16.198915
435, Car, 482.18, 39.813426
436, Car, 38.07, 5.271760
437, Taxi, 489.49, 35.671449
438, Bus, 483.42, 20.619698
439, Car, 457.22, 41.565678
440, Car, 26.55, 5.139627
441, Car, 211.74, 14.115925
442, Motorcycle, 239.79, 3.676478
443, Car, 16.37, 1.592943
444, Car, 479.89, 38.391411
445, Taxi, 236.28, 13.853289
446, Car, 480.83, 20.905849
447, Bus, 485.39, 13.934590
448, Car, 51.56, 4.885052
449, Motorcycle, 489.40, 24.334987
450, Motorcycle, 480.40, 22.815806
451, Car, 480.73, 24.103561
452, Car, 216.67, 16.115796
453, Car, 215.12, 15.677031
454, Motorcycle, 98.53, 12.489620
455, Motorcycle, 15.32, 11.030850
456, Car, 198.39, 13.128881
457, Motorcycle, 479.35, 43.577235
458, Motorcycle, 451.36, 46.425151
459, Taxi, 479.83, 32.715360
460, Car, 231.36, 20.615891
461, Car, 482.67, 31.708074
462, Car, 214.14, 13.965788
463, Motorcycle, 234.73, 29.340905
464, Motorcycle, 356.46, 37.303957
465, Motorcycle, 345.88, 15.963514
466, Car, 480.05, 38.065685
467, Motorcycle, 451.27, 34.712698
468, Motorcycle, 315.74, 14.995755
469, Car, 454.29, 38.939188
470, Motorcycle, 457.22, 21.376444
471, Car, 455.45, 41.196239
472, Motorcycle, 480.92, 34.351639
473, Taxi, 348.21, 16.030211
474, Motorcycle, 323.10, 6.858319
475, Car, 198.01, 17.218624
476, Car, 187.05, 32.066536
477, Car, 26.02, 8.362233
478, Motorcycle, 236.83, 15.224633
479, Car, 50.04, 26.489171
480, Car, 235.99, 28.701592
481, Car, 42.25, 1.508858
482, Bus, 472.05, 20.928295
483, Car, 217.45, 14.826217
484, Car, 480.25, 48.024793
485, Car, 50.66, 30.395103
486, Car, 477.39, 15.181886
487, Car, 102.42, 23.337127
488, Car, 29.18, 2.626536
489, Car, 210.25, 14.725631
490, Car, 354.72, 17.303482
491, Car, 102.38, 23.327531
492, Motorcycle, 320.49, 20.170830
493, Car, 103.80, 21.231672
494, Car, 349.46, 18.889596
495, Motorcycle, 346.77, 21.824571
496, Taxi, 348.42, 20.362389
497, Car, 403.41, 13.348139
498, Taxi, 347.41, 20.914360
499, Motorcycle, 180.08, 12.515067
500, Car, 352.38, 19.337693
501, Motorcycle, 355.19, 23.679402
502, Medium Vehicle, 348.15, 20.479386
503, Motorcycle, 352.06, 27.673199
504, Motorcycle, 355.96, 13.129651
505, Medium Vehicle, 354.57, 12.514108
506, Motorcycle, 259.87, 23.744591
507, Car, 267.65, 12.745447
508, Car, 347.69, 13.938740
509, Car, 353.11, 14.031007
510, Motorcycle, 272.98, 13.880205
511, Motorcycle, 451.41, 24.254944
512, Taxi, 283.99, 11.644441
513, Car, 50.83, 21.276430
514, Car, 237.13, 36.172099
515, Motorcycle, 449.98, 50.941071
516, Car, 236.18, 22.733535
